genre,cat8,cat5,cat10
FOOD_AND_DRINK,DailyLiving,DailyUtilities,Lifestyle_Home
LIFESTYLE,DailyLiving,DailyUtilities,Lifestyle_Home
AUTO_AND_VEHICLES,DailyUtilities,DailyUtilities,Lifestyle_Home
FINANCE,Finance_Shopping,DailyUtilities,Finance_Commerce
SHOPPING,Finance_Shopping,DailyUtilities,Finance_Commerce
MAPS_AND_NAVIGATION,Navigation_Utilities,DailyUtilities,Navigation
TRAVEL_AND_LOCAL,Navigation_Utilities,DailyUtilities,Navigation
WEATHER,Navigation_Utilities,DailyUtilities,Navigation
ENTERTAINMENT,Entertainment_Media,Entertainment_Media,Entertainment
GAME_ACTION,Entertainment_Media,Entertainment_Media,Games
GAME_ADVENTURE,Entertainment_Media,Entertainment_Media,Games
GAME_ARCADE,Entertainment_Media,Entertainment_Media,Games
GAME_BOARD,Entertainment_Media,Entertainment_Media,Games
GAME_CASUAL,Entertainment_Media,Entertainment_Media,Games
GAME_PUZZLE,Entertainment_Media,Entertainment_Media,Games
GAME_ROLE_PLAYING,Entertainment_Media,Entertainment_Media,Games
GAME_SIMULATION,Entertainment_Media,Entertainment_Media,Games
GAME_STRATEGY,Entertainment_Media,Entertainment_Media,Games
GAME_WORD,Entertainment_Media,Entertainment_Media,Games
MUSIC_AND_AUDIO,Entertainment_Media,Entertainment_Media,Entertainment
PHOTOGRAPHY,Entertainment_Media,Entertainment_Media,Entertainment
VIDEO_PLAYERS,Entertainment_Media,Entertainment_Media,Entertainment
BOOKS_AND_REFERENCE,Reading_Info,Entertainment_Media,Reading_Knowledge
NEWS_AND_MAGAZINES,Reading_Info,Entertainment_Media,Reading_Knowledge
PARENTING,DailyLiving,HealthLifestyle,Lifestyle_Home
HEALTH_AND_FITNESS,Health_Fitness,HealthLifestyle,Health_Fitness
MEDICAL,Health_Fitness,HealthLifestyle,Health_Fitness
SPORTS,Health_Fitness,HealthLifestyle,Health_Fitness
BEAUTY,Lifestyle_Home,HealthLifestyle,Lifestyle_Home
ART_AND_DESIGN,Productivity_Work,Productivity_Work,Productivity_Work
BUSINESS,Productivity_Work,Productivity_Work,Productivity_Work
EDUCATION,Productivity_Work,Productivity_Work,Productivity_Work
PERSONALIZATION,Productivity_Work,Productivity_Work,Productivity_Work
PRODUCTIVITY,Productivity_Work,Productivity_Work,Productivity_Work
TOOLS,Productivity_Work,Productivity_Work,Productivity_Work
COMMUNICATION,Social_Communication,Social_Communication,Communication
DATING,Social_Communication,Social_Communication,Dating
SOCIAL,Social_Communication,Social_Communication,Communication
